averageRating,numVotes,startYear,genres
7.2,875,1915,"Comedy,Drama,Short"
6.5,990,1915,"Comedy,Short"
6.6,784,1915,"Drama,Short"
6.6,872,1915,Comedy
6.6,538,1915,"Drama,Short"
6.9,531,1915,Drama
8.0,4311,1915,"Comedy,Short,Western"
7.5,2091,1915,Drama
6.7,1054,1915,"Comedy,Drama"
5.7,900,1915,"Comedy,Short"
6.5,719,1915,"Crime,Drama"
7.8,2476,1915,Drama
7.6,7587,1915,"Adventure,Romance"
6.9,606,1915,"Comedy,Short"
7.2,1434,1915,Mystery
6.7,1902,1915,Drama
8.1,58298,1915,Comedy
7.5,2722,1915,"Drama,Short"
7.1,1499,1915,"Romance,Short"
7.0,2224,1915,"Action,Short"
7.0,2248,1915,"Drama,Romance,Short"
6.6,1469,1915,"Drama,Short"
7.2,2769,1916,"Animation,Comedy,Short"
6.7,779,1915,Drama
7.6,3921,1915,"Animation,Comedy,Short"
6.3,1034,1915,"Comedy,Short"
7.5,846,1915,"Comedy,Romance,Short"
7.6,4097,1915,"Drama,Romance"
7.5,3820,1915,Drama
7.8,15637,1915,Drama
7.5,10267,1915,Adventure
7.3,2492,1925,"Short,Thriller"
6.7,805,1915,"Drama,Short"
7.2,1511,1915,Drama
7.3,576,1915,Drama
6.9,1030,1915,"Drama,Short"
6.1,522,1915,Drama
7.4,1846,1915,Short
7.2,1867,1915,"Comedy,Short"
6.8,935,1915,"Adventure,Crime,Thriller"
8.0,6963,1915,Drama
6.6,1220,1915,Drama
7.1,1122,1915,Drama
5.7,901,1915,Drama
6.8,926,1915,Drama
7.5,1121,1915,Drama
7.1,2268,1915,Drama
7.4,1641,1915,"Drama,Short"
6.9,734,1915,Drama
4.8,533,1916,Short
6.9,1511,1915,Drama
7.6,3298,1915,Drama
6.4,580,1915,"Short,Western"
6.9,11546,1915,Comedy
5.6,7725,1915,"Comedy,Romance,Short"
6.3,1239,1915,"Comedy,Short"
5.9,786,1915,"Drama,Short"
8.4,26976,1915,Drama
6.8,7990,1915,"Documentary,Short"
6.4,532,1915,"Comedy,Short"
5.5,2274,1915,"Drama,Short"
6.4,520,1914,Comedy
6.7,1232,1915,"Action,Crime"
6.1,1339,1915,"Comedy,Short"
6.2,880,1915,Drama
6.9,1284,1915,Drama
7.1,622,1915,Documentary
6.7,552,1915,Drama
7.2,3740,1915,"Drama,Short"
5.8,763,1915,"Comedy,Short"
7.1,792,1915,"Drama,Short,Western"
6.0,970,1915,"Comedy,Short"
6.7,1950,1915,"Drama,Short"
7.0,1359,1915,"Comedy,Short"
7.2,886,1915,"Drama,Short"
5.8,2203,1915,Drama
7.0,1281,1915,Mystery
5.5,1227,1915,Drama
7.0,1352,1915,"Drama,Short"
6.8,1191,1915,Drama
6.9,740,1915,Crime
6.0,562,1915,"Drama,Short"
6.7,842,1915,Drama
7.5,1858,1915,"Comedy,Drama,Short"
6.0,560,1915,"Crime,Drama,Romance"
7.0,2505,1915,"Comedy,Short"
7.7,1461,1915,Short
5.6,539,1915,Drama
6.2,3178,1916,Western
6.1,1264,1915,"Drama,Short"
7.2,1342,1915,"Comedy,Short"
7.3,3402,1915,Comedy
6.1,559,1915,Documentary
5.6,532,1915,Drama
6.1,762,1915,Drama
5.7,566,1915,"Comedy,Short"
6.7,883,1915,Drama
7.2,902,1915,Comedy
6.1,515,1915,"Drama,Short"
6.2,897,1915,Documentary
7.1,1696,1916,Drama
7.1,1774,1916,"Comedy,Short"
6.5,969,1916,Drama
7.2,1848,1916,"Adventure,Comedy,Romance"
6.0,753,1916,Drama
7.3,638,1916,Drama
6.7,692,1916,"Comedy,Short,Western"
7.6,5625,1916,"Action,Adventure"
6.3,697,1916,Drama
6.9,2415,1916,"Short,Western"
6.2,515,1917,"Comedy,Short"
7.2,1657,1917,Adventure
7.8,4682,1916,"Animation,Comedy,Short"
6.2,624,1916,"Animation,Comedy,Short"
6.8,780,1916,Drama
5.8,766,1916,"Comedy,Short"
7.2,1196,1916,"Comedy,Short"
5.7,703,1916,Drama
6.5,819,1915,"Drama,History"
6.2,603,1916,"Short,Western"
6.5,1410,1916,"Drama,Western"
7.6,52363,1918,"Drama,Romance"
7.0,1307,1916,Drama
5.4,657,1916,"Short,Western"
6.7,825,1916,Drama
6.3,582,1916,Drama
7.3,1063,1916,"Crime,Drama,Thriller"
5.9,802,1916,Drama
6.6,704,1916,Drama
6.4,755,1916,"Comedy,Short"
6.2,519,1916,"Drama,Short"
7.0,971,1916,"Animation,Comedy,Short"
5.6,1637,1916,"Animation,Comedy,Short"
8.1,66038,1916,Drama
7.4,14950,1916,Drama
6.6,3364,1916,"Short,Western"
6.9,927,1916,"Animation,Comedy,Short"
7.3,2531,1916,"Comedy,Short,Western"
7.3,552,1916,"Drama,Short"
7.1,1845,1916,"Action,Biography,Western"
7.1,2465,1916,"Drama,Short"
7.1,4164,1916,"Drama,Short"
6.0,806,1916,Drama
7.7,15901,1916,Drama
7.4,1760,1916,Western
5.4,517,1916,"Comedy,Drama"
7.3,2215,1916,Drama
6.3,615,1917,"Drama,Romance"
7.7,3539,1917,Short
7.5,1204,1915,"Comedy,Short"
6.1,616,1916,"Comedy,Short"
7.1,1987,1916,Short
6.6,787,1916,"Animation,Comedy,Short"
6.7,3442,1916,Drama
6.5,1280,1916,Documentary
5.7,508,1916,Drama
6.5,854,1916,"Drama,Short"
4.9,517,1916,Drama
6.5,606,1916,"Crime,Drama"
